location,regex,Symbol
McKeldin Library 1st floor,^LIBWKMCK[PM]1F[0-9]+[a-zA-Z]$,MCK1F
McKeldin Library 2nd floor,^LIBWKMCK[PM]2F[0-9]+[a-zA-Z]$,MCK2F
McKeldin Library 4th floor,^LIBWKMCK[PM]4F[0-9]+[a-zA-Z]$,MCK4F
McKeldin Library 5th floor,^LIBWKMCK[PM]5F[0-9]+[a-zA-Z]$,MCK5F
McKeldin Library 6th floor,^LIBWKMCK[PM]6F[0-9]+[a-zA-Z]$,MCK6F
McKeldin Library 6th floor RM 6101,^LIBWKMCK[PM]6F1[0-9]+[a-zA-Z]$,MCK6F1
McKeldin Library 6th floor RM 6103,^LIBWKMCK[PM]6F3[0-9]+[a-zA-Z]$,MCK6F3
McKeldin Library 6th floor RM 6107,^LIBWKMCK[PM]6F7[0-9]+[a-zA-Z]$,MCK6F7
McKeldin Library 7th floor,^LIBWKMCK[PM]7F[0-9]+[a-zA-Z]$,MCK7F
Engineering Library 1st floor,^LIBWKEPL[PM]1F[0-9]+[a-zA-Z]$,EPL1F
Engineering Library 2nd floor,^LIBWKEPL[PM]2F[0-9]+[a-zA-Z]$,EPL2F
Engineering Library 3rd floor,^LIBWKEPL[PM]3F[0-9]+[a-zA-Z]$,EPL3F
Chemistry Library 1st floor,^LIBWKCHM[PM]1F[0-9]+[a-zA-Z]$,CHM1F
Chemistry Library 2nd floor,^LIBWKCHM[PM]2F[0-9]+[a-zA-Z]$,CHM2F
Chemistry Library 3rd floor,^LIBWKCHM[PM]3F[0-9]+[a-zA-Z]$,CHM3F
Nonprint Library 1st floor,^LIBWKNON[PM]1F[0-9]+[a-zA-Z]$,NON1F
MARYLANDIA,^LIBWKMDR[PM]1F[0-9]+[a-zA-Z]$,MDR1F
PAL 1st floor,^LIBWKPAL[PM]1F[0-9]+[a-zA-Z]$,PAL1F
PAL 2nd floor,^LIBWKPAL[PM]2F[0-9]+[a-zA-Z]$,PAL2F
Art Library 1st floor,^LIBWKART[PM]1F[0-9]+[a-zA-Z]$,ART1F
Arch Library,^LIBWKARC[PM]1F[0-9]+[a-zA-Z]$,ARC1F
